singer_name,singer_uri,song_name,song_uri,lyrics
Jinbo,spotify:artist:2QlEDg87oaNdcAA1O7dIIC,I Love U So,spotify:track:6vdEahxBwLid3eXOQXYGow,"I Love U So - Remix Lyrics""This remix goes down to all the motherfuckers that I love so much
And shoutout to all my homies
AtChynaHouse, and Jinbo, and Albert, love you guys
I love you Kylie""

You need to know
I love you so
早已愛上
你的所有
你的臉龐
你的眼眸
此生無憾
再也沒有什麼好奢求
You've always been the one for me
You've always been around
You've always been that one thing missin'
The one I haven't found
我不需要你太帥
不需要你太有錢
只要我們一起平凡地度過每一天
你總是對我愛理不理
還是你在生我氣
只好裝作不在意
等待你回心轉意
只是想要逗你開心
想要與你經營愛情
我是你的生命共同體
為何你總是不明白這道理
聽說我很難搞抱歉嚇到你
你叫我往東我卻往西
想跟你 看電影
再來去 打遊戲
吃晚餐 逛化妝品
開車去 看星星
為你我什麼都可以做
只要餘生是跟你過
含情脈脈將錯就錯我只知道你不能錯過
You need to know
I love you so
早已愛上
你的所有
你的臉龐
你的眼眸
此生無憾
再也沒有什麼好奢求
I love you so that I love you
I love you so that I love you
Love you so, love you
Love you soEmbed"
徐聖恩,spotify:artist:5EYXnvvcABkGb6zJGDcuyM,Coffee or Tea,spotify:track:3W4T3q3luaLACJtw2dmV2C,None
Gen Neo,spotify:artist:6GvQJnPSXsAGPLRfoqfTfK,Stop Sugar,spotify:track:4OSl72bTia7Hrn8xfRKjbM,"Stop Sugar Lyrics回到熟悉的房间 双人床少了你在身边
我又不小心失眠 Yeah
想起你说的永远 消失不见
Oh baby, oh baby, oh baby

Stop tellin' all these lies 相爱只剩无奈
就算热情还在 过去却难以释怀
No Way 不想离开but 现在我才明白
就算努力灌溉 错给的爱收不回来

Stop sugar
感情游戏藏著太多规则 就算多么不舍
Stop sugar
爱上一个人换满身伤痕
不知不觉走回我们相识的起点 你说过爱情甜美却危险，
怎么说变就变 来不及防备 才让我们之间隔的距离越来越遥远

Stop tellin' all these lies 相爱只剩无奈
就算热情还在 （但你不在、你不在no）
No Way 不想离开but 现在我才明白
无法从新再来 错给的爱收不回来

Stop sugar
感情游戏藏著太多规则 就算多么不舍
Stop sugar
爱上一个人换满身伤痕 yeah

写过了多少首情歌
以为幸福快乐有可能，却没我的份
是我太天真 爱了痛了才懂得
就算多么寂寞 也应该放开手

Stop sugar
感情游戏太多规则
Yeah, yeah, yeah
Stop sugar
爱上一个人换满身伤痕, oh yeah
Stop tellin' all these lies 相爱只剩无奈
就算努力灌溉 心再痛也只能放开
Stop sugar
爱上一个人换满身伤痕
Stop sugarEmbed"
Shelhiel,spotify:artist:1YiJh4CyYHF215ak2CmoaE,AAA,spotify:track:4X4toLchK5R493H5fAa31k,None
Ice Paper,spotify:artist:35kMWGEVOOesE5U0CdP3Zo,心如止水,spotify:track:2KyPpGNxP2vYzkrFHt8iWu,"心如止水 (Heart is like Water) Lyrics[Ice Paper “心如止水” 歌词]

[Intro]
Talking to the moon 放不下的理由
是不是会担心 变成一只野兽
Walking on the roof 为心跳的节奏
是不是会暂停 在世界的尽头

[Verse  1]
浸泡在十公升的瓶里
单纯想要呼吸 讨厌云里雾里
出没在被遗忘的抽屉
你曾经的手笔 写着心口不一
现在是黑夜白昼我都随便
像迷路的天鹅游失在水面
尽力去捕捉恶梦里的碎片
不需要你的歌来帮我催眠
[Chorus]
Talking to the moon 放不下的理由
是不是会担心 变成一只野兽
Walking on the roof 为心跳的节奏
是不是会暂停 在世界的尽头
说不完的话 找不完的借口
是不是会狠心 把我骄傲解剖
爱着谁的她 能否将你接受
是不是会上瘾 拜托慢些降落

[Rap Verse]
华丽的红房间 发霉的旧唱片
没必要听个遍 掉了漆的播放键
你情愿冒着险 睡在他的身边
没耐心去分辨 谁和谁能够走多远

[Verse 2]
穿过几条街就能找到关键
解开我的问题没什么悬念
转了几个弯还是回到原点
我该如何出现在你的面前

[Chorus]
Talking to the moon 放不下的理由
是不是会担心 变成一只野兽
Walking on the roof 为心跳的节奏
是不是会暂停 在世界的尽头
说不完的话 找不完的借口
是不是会狠心 把我骄傲解剖
爱着谁的她 能否将你接受
是不是会上瘾 拜托慢些降落
[Chorus]
Talking to the moon 放不下的理由
是不是会担心 变成一只野兽
Walking on the roof 为心跳的节奏
是不是会暂停 在时间的尽头
说不完的话 找不完的借口
是不是会狠心 把我骄傲解剖
爱着谁的她 能否将你接受
是不是会上瘾 拜托慢些降落Embed"
狄迪,spotify:artist:57jt37IDuLJJTWcap103mi,小鹿乱撞,spotify:track:4Mdw361yPWmE5VY39WaIpN,None
arkn,spotify:artist:6TyZpvlECavAXi9uH5bPNT,Lover boy,spotify:track:4iWdDKMkhLFFPoGskFyMBD,"You Got To Love Me Lyrics[Verse 1]
You got to love me, baby, got to treat me right
Stay with me both day and night

[Chorus]
You got to love me, mama
You got to love me, mama
You got to love me, mama, if you wanna get along with me

[Verse 2]
I ain't gon' stand no cheatin', baby, or runnin' around
If I catch you cheatin', I'm gonna put you down
[Chorus]
You got to love me, mama
You got to love me, mama
You got to love me, mama, if you wanna get along with me

[Instrumental break]

[Verse 3]
You've been messin' with me, baby, long enough
I ain't gon' take no more of your stuff

[Chorus]
You got to love me, mama
You got to love me, mama
You got to love me, mama, if you wanna get along with meEmbed"
Karencici,spotify:artist:6v6qfXRvTRGGsmGfDvtMIK,一天加點愛 (feat. Karencici),spotify:track:0n620D2UF9SNRKny1vFdQo,"一天加點愛 (A Little Love A Day) LyricsBaby 没见到你 好几个礼拜
却 感觉就在你身边醒来
如何让你明白
没有你在 我更依赖
你的牙刷
并排挨着摆

不知不觉 一天一天加一点爱
不刻意超载
不用设计每句对白
简讯一断就瞎猜
不管将来 现在
要告诉自己 让彼此最自在
学会享受等待
学会为彼此而存在
Baby 爱里不用太多的安排
别出心裁 不如just say hi
不需要一直说爱
让我们偶尔发呆
Just take your time 不会分开

不知不觉 一天一天加一点爱
不刻意超载
不用设计每句对白
简讯一断就瞎猜
不管将来 现在
要告诉自己 让彼此最自在
学会享受等待
学会为彼此而存在

我们从来未曾分开 因为你一直在脑海
我们从来未曾分开 拥有你等于拥有爱
我们从来未曾分开 因为你一直在脑海
我们从来未曾分开 拥有你等于拥有爱

不知不觉 一天一天加一点爱
不刻意超载
不用设计每句对白
简讯一断就瞎猜
不管将来 现在
我对你的爱永远不更改
想念不会停摆
我们每天加点爱Embed"
ØZI,spotify:artist:7Icsejk4pdIhkq2KO5A0jD,Paradise Island,spotify:track:55gdK99fAhQHOCqEqiq2ek,"PARADISE ISLAND 天堂島 LyricsYJBC
That’s what I be doing
That’s what I be doing you
Gon love it when I do it

I should’ve known
妳不是個basic girl
我早該想透

Just pick up your phone
妳這種曖昧的捉弄
我早就看透 Oh baby
我知道 我知道
Fuckboy把妹基本的步驟
對妳根本完全沒用
但我知道 連Wonder Woman也需要依靠

像活在天堂島上的女孩
I’ll make you feel like you’re in paradise
身體之間互動由妳主裁
我們不再需要任何阻礙
Let’s fuck all night

Oh Diana diana
Oh you just keep getting finer
卸下妳所有的心理建設 在這裡沒淺規則
奪走妳武裝 赤裸的身體
妳美的像幅畫 像個藝術品
慢慢仔細研究妳身體的奧秘
卻一不小心就這麼上了癮
配合妳
整個為了妳
這裡出人命
準備照相機
多少個證據 證明妳的靈魂飢餓
這首RNB把妳逼到瘋了
不會在乎妳的感情道德Embed"
NYK,spotify:artist:009SHiJ9rvFm3vNwL4SjZx,NO 808,spotify:track:2Llpwnw71IgFuLNihLpBzO,"NO 808 LyricsYou know all the girls always call me rap star
But 在你出现才是我的best part
You make me crazy 又想溜走
喜欢你先付出了代价
Honey 我当你最棒的奖励
来房里 让我来帮你 脱下抵抗力
你就像是龙卷风
而我深陷其中
你怎么能和她们相比
把你当作必需品塞进行李箱里
我带你去参加你前男友的葬礼
他不配 他没我这么纯粹
看看我吧 看看我的腹肌吧
So my sweety
这次没有808
不写情歌的我这次写给你听吧
我那么听话
你像资本主义家
我拒绝了所有暧昧而你像交际花
Babe what's going on
You keep spitting caps and you just going on and on
You should just admit that you just here to have some fun
I be standing right here with you til you think you're done
Just play me like I'm dumb
So why you do me like that like that like that
So why you do me like that like that like that

You make me feel some type of way when you text me
But I know half of all the boys up in your DM
And I'm out here copping bags for you like groceries
You're my baby but you nasty
You must think I'm such a joke
Laughing to the bank and you'rе pulling out my notes
Touch n go touch n go you just left and I'm alone
Shot dеad I'm a ghost now out here with Lil Ghost now

You acting kinda shady
Got me sounding crazy
Switching up your story
Break me down like

Babe what's going on
You keep spitting caps and you just going on and on
You should just admit that you just here to have some fun
Play me like I'm dumb
Just play me like I'm dumb
我对你不一般
但是你没发现我对你不一般
和兄弟写首love song证明不一般
我对其他人就没这么不一般
这么不一

So why you do me like that like that like that
So why you do me like that like that like that
So why you do me like thatEmbed"
瘦子E.SO,spotify:artist:2qXGNIlmY3JrYkxOWyXZsd,better off without you,spotify:track:1UT0LAyqX1t1ZQgNMpzseN,None
NINEONE#,spotify:artist:0id1kre1ASgHByPQgivxUk,BUT U,spotify:track:6cV79YNnS2igJOK2NCyiWz,"SYL Lyrics(INTRO)

Falling is accidental
It's uncontrollable
It's something that happens to us without our consent
So evolve, we fall
We're struck
We are crushed
We burn with passion
Love makes us crazy
And it makes us sick
Our heart's ache
And then we break
(VERSE 1)
Do you think it’s funny?
All those burned down things around me?
You can’t see the full perspective and the demons tryna’ find me
All the velvets burned down in the castle and the king is hidin’
Her fella sold his soul, dig his grave and now she’s laughin’

You’re so genius
And you’re so generous
You call the nine-one-one, while I’m layin’ on the ground
I’m just tyna’ give myself to the passion, what I got
I’m just lost in this maze
How the fuck we live our life?
How the fuck we live our life?

(VERSE 2)
How the fuck we live our life?
I cheated on her with a milk tooth right? - right
So I tried to correct all my little faults
But it’s late cause she’s with an other fuckin’ guy

You knew the story
You know the truth
But it’s not about you, cause you’re fucking far
And while you danced on the sky, I suffered all the fuckin’ time
An other vision, with an other girl in my fucking arm
(VERSE 3)
Wakin’ up in the morning, with a teardrop
Makin’ music, tryna’ delete all those dreams, tryna’ kill those
Now I treat u like a friend, but I call you on the same name
Whole new me, I can’t even see straight
Madness, bae I’ll store you in my capsule
See you later, I feel like I’m that castleEmbed"
唐貓 SUGARCAT,spotify:artist:4aWERTpHN8Z4OEtq9hcLR9,Lonely,spotify:track:5WNwfAXkEE9FXpvdq7PSDs,None
唐貓 SUGARCAT,spotify:artist:4aWERTpHN8Z4OEtq9hcLR9,嗯哼,spotify:track:7CGcD5eBxmVw2YRUVlkEoU,"嗯哼 (Uh Huh) Lyrics[Verse 1]
WHAT A PRO GAME 令人心碎
人若不犯我 何來井水不犯河水
我心如止水 你源源不絕
我這邊只好 讓他說讓他說

[Verse 2]
大人的世界 小朋友別聽
說幾遍還是對牛彈琴
我不必唱饒舌歌因為我有MELODY BRO
讓我說讓我說
[Chorus]
嗯哼嗯哼嗯哼嗯 忽略流言蜚語
無法溝通的人類 讓他說讓他說讓他說唄
嗯哼嗯哼嗯哼嗯 忽略流言蜚語
無法溝通的人類 讓他說讓他說讓他說

[Verse 3]
WHAT A POOR GAME 令人心碎
但厚臉皮的程度 太令人敬佩
以自我中心 創造無人的境界
卻百般奢望別人進入你的世界

[Verse 4]
大人的世界 小朋友別聽
說幾邊還是多說無益
我不必唱饒舌歌因為我有MELODY BRO
讓我說讓我說

[Chorus]
嗯哼嗯哼嗯哼嗯 忽略流言蜚語
無法溝通的人類 讓他說讓他說讓他說唄
嗯哼嗯哼嗯哼嗯 忽略流言蜚語
無法溝通的人類 讓他說讓他說讓他說

[Bridge]
用以戲謔看待一切悲哀
不過茫茫人海一粒塵埃
也許是過於自卑 先發制人不意外
一點都不精彩
[Outro Chorus]
嗯哼嗯哼嗯哼嗯 忽略流言蜚語
無法溝通的人類 讓他說讓他說讓他說唄
嗯哼嗯哼嗯哼嗯 忽略流言蜚語
無法溝通的人類 讓他說讓他說讓他說Embed"
满舒克,spotify:artist:1gMDCRotRvYg6WUxhWJmid,慢熱,spotify:track:0BNf8rUrSzjIK74zozujWL,None
Lil Ghost小鬼,spotify:artist:1NzIfDPUv5QYRXOtv13PRI,别叫我达芬奇,spotify:track:55C5I6gt4oC3n4VoiRclUu,"别叫我达芬奇 LyricsBaby girl 别叫我达芬奇
让我唱首Melody
没有太多的问题
要不要和我在一起
LG 哼 emmm……
你我都落单 我左 你靠右
承认我有点靦腆却又争强好鬥
犹豫都摘除想要某种联繫
装作漫不尽心的我一切都照旧

如果我是达芬奇 你就是蒙娜丽莎
你5star的微笑帮我疏通想法
好吧承认想法有一点不像话
你说你要用彩虹色来帮我洗刷
But I am not bad boy
只是有点複杂
喜欢上你的味道甚至你的虎牙
But I am not bad boy
已经不想再说
下一步抓住机会那就和你拍拖
到底应该要怎样才能靠近
想要带你去Shopping
在月光下我抓紧了你
Oh baby 想要叫你Darling
带你回我的家里
要怎样我都答应了你
So Baby Girl 别叫我达芬奇

让我唱首Melody
没有太多的问题
要不要和我在一起
Baby Girl 别叫我达芬奇
故事也不用多甜蜜
吃饭睡觉打遊戏
你是我的小猫咪
Ok早上起床就要打开你的朋友圈

连空气都变得新鲜
你爱答不理 我自作多情
以为这是你的考验
你感受到我小宇宙的特别
你让我辗转反侧 无可奈何
惊慌失措看著你眼眸确认反复是爱的迹象
你对我点头答应满足我所有的慾望
镶嵌在记忆 让我变得细腻
这一点一滴如果你缺乏抵抗力那我就是你的维C
嗯嗯 我见过太多过往云烟
本假装高冷却跪倒在你的裙边
你沉鱼落雁而我英俊潇灑
我风度翩翩而你闭月羞花
别叫我达芬奇你知道我不会谈情说爱
更不是贝多芬但我想现在就带你离开
乘私人飞机环遊世界只需一个礼拜
我好喜欢你 这秘密我不想再隐埋

So Baby Girl 别叫我达芬奇
让我唱首Melody
没有太多的问题
要不要和我在一起
Oh Baby Girl 别叫我达芬奇
故事也不用多甜蜜
吃饭睡觉打遊戏
你是我的小猫咪
So Baby Girl
Love

就这样把你我都融化
坐上了旋转木马
破解你心锁密码
或许是我太主动
或许你也快失控
放弃了多馀理由 我牵你的手
你开始选择Know Me Baby
So Baby Girl 别叫我达芬奇
让我唱首Melody
没有太多的问题
要不要和我在一起
Baby Girl 别叫我达芬奇
故事不用多甜蜜
吃饭睡觉打遊戏
你是我的小猫咪
Baby Girl……Embed"
蔣小呢,spotify:artist:42OCObJjjSOy82DSvyvUkQ,for ya,spotify:track:0wfgC4PipatRkF9VMRtYuF,None
野生三十,spotify:artist:5Wfoq0LgHU00f0DqFeyFEm,圈套,spotify:track:3tXT7Ti1RVHNWnQv78S9DU,None
sixx66,spotify:artist:2EQiBihBaWHscpzZEwCKzu,Crush,spotify:track:7ozJUVQFptAC9WJywkaDqj,None
AJ 賴煜哲,spotify:artist:3cy4mXZDfZgeuh2iFXkjv2,幾分甜,spotify:track:7FNCpWgKzchRWT97whWung,None
Lil Ghost小鬼,spotify:artist:1NzIfDPUv5QYRXOtv13PRI,Prospect - Remix,spotify:track:63zrbXhxoEFmS3z88Ih9x1,None
Felix Bennett,spotify:artist:282TN6IoUoSVjiQ7z8sEBY,他只是經過,spotify:track:6TBJGBdclNJ3kHBzaROQ4B,None
王以太,spotify:artist:3FpGegUfBRYiws8Ww49Y1j,sorry,spotify:track:69ol8Bm2liQVaZOPoiipyb,"Eminem - Fall (中文翻译) Lyrics[Intro: Eminem & Justin Vernon]
You know, everybody's been tellin' me what they think about me for the last few months
过去几个月 所有人都在告诉我他们的想法
It's too loud
太吵了
Maybe it's time I tell 'em what I think about them
可能我也是时候告诉他们我的想法了
Can't hear it coming down the hallway stairs from the parking lot
停车场中的声音拾级而下 也听不清楚
It's too loud
太吵了
Three's not a crowd all up in it, slow fire
为什么要插足进来？停火吧
[Chorus: Justin Vernon]
Don't fall on my face
不要让我失败
Don't fall on my faith, oh
不要失去信念
Don't fall on my fate
不要失去命运
Don't fall on my faith, oh
不要失去信念
Don't fall on my fate
不要失去命运
Don't fall on my–
不要失去…

[Verse 1: Eminem]
Gotta concentrate, against the clock I race
集中精神 加快步伐
Got no time to waste, I'm already late, I got a marathoner's pace
时间所剩无几 我早已迟到 马拉松后步履蹒跚
Went from addict to a workaholic, word to Dr. Dre
从药物上瘾变成工作上瘾 向Dre发誓
In that first marijuana tape—guess I got a chronic case (yeah)
在那大麻封面的专辑中 可能我得了慢性疾病吧
And I ain't just blowin' smoke, 'less it's in your momma's face
我可不仅仅抽烟 还想抽你妈的脸
I know this time Paul and Dre
我知道这次连Paul和Dre
They won't tell me what not to say (nope)
都不会再拦着我了（不）
And though me and my party days
尽管我和我放纵的日子
Have all pretty much parted ways
早已分道扬镳
You'd swear to God I forgot I'm the guy that made ""Not Afraid""
但是你还是能看出来我早就忘了Not Afraid里怎么说的了
One last time for Charlamagne
最后再提一次Charlamagne
If my response is late, it's just how long it takes
我回应不及时 只不过是
To hit my fuckin' radar, I'm so far away
电波到达我的时间太长了 我比你高了不知道多少
These rappers are like Hunger Games
这些说唱歌手就像在玩饥饿游戏
One minute, they're mockin' Jay
上一秒 他们是嘲笑鸟（模仿J Cole）
Next minute, they get their style from Migos or they copy Drake
下一秒 就模仿Migos又学Drake
Maybe I just don't know when to turn around and walk away
可能我是不知道什么时候该转身离开
But all the hate, I call it ""Walk on Water"" gate
对Walk on Water的那些憎恨就是我的水门丑事
I've had as much as I can tolerate
我已经到达了忍耐的极限
I'm sick and tired of waitin', I done lost my patience
受够了等待 早就失去了耐心
I can take all of you motherfuckers on at once
你们这些人一起上都打不过我
You wanted Shady? You got him!
都想要Shady? 那就给你！
[Chorus: Justin Vernon & (Eminem)]
Don't fall on my face (yeah)
不要让我失败
Don't fall on my faith, oh
不要失去信念
Don't fall on my fate (line 'em up!)
不要失去命运（站好了！）
Don't fall on my faith, oh (rrr!)
不要失去信念
Don't fall on my fate (look)
不要失去命运（看）

[Verse 2: Eminem]
Somebody tell Budden before I snap, he better fasten it
有没有谁去告诉Budden 赶紧闭上他那破嘴
Or have his body bag get zipped
要不然就准备把自己的棺材盖盖好
The closest thing he's had to hits is smackin' bitches
没有热单让他爆红 暴打前女友让他出了名
And don't make me have to give it back to Akademiks
别让我再提Akademiks了
Say this shit is trash again, I'll have you twisted
再说我作品不行 我就要把你扭成麻花
Like you had it when you thought you had me slippin' at the telly
记不记得你当时在电视上说发现了我的绯闻？
